Year,Average Interest Rate on Debt Held by the Public (2016 LTBO)
2015,NaN
2016,1.97458322570965
2017,2.21377876550290
2018,2.48292900524997
2019,2.89216170801621
2020,3.12980115008121
2021,3.36828801545239
2022,3.44839263138884
2023,3.52302079727319
2024,3.71262896302432
2025,3.66678550207962
2026,3.71911922663802
2027,3.76091562793558
2028,3.80517503805175
2029,3.84692737430168
2030,3.87017929782294
2031,3.89990037229301
2032,3.80388063367309
2033,3.82912487028710
2034,3.84272106194116
2035,3.86178861788618
2036,3.87953244274809
2037,3.79864175886182
2038,3.80760259723886
2039,3.83603535173712
2040,3.84673976450655
2041,3.86146795883104
2042,3.88183320494842
2043,3.81811870878167
2044,3.83090379008746
2045,3.85617537764683
2046,3.87071711599720
2047,3.84082356286370
2048,3.84504174326389
2049,3.84878565786639
2050,3.85006068847931
2051,3.85039278087659
2052,3.84928526308115
2053,3.84603046889442
2054,3.84882164490569
2055,3.85061343038752
2056,3.85005723566159
2057,3.84799124762802
2058,3.84870801610446
2059,3.84907464338851
2060,3.84910354194073
2061,3.84900782728687
2062,3.84886933192789
2063,3.84882773881257
2064,3.84910746580438
2065,3.84913604789425
2066,3.84898830964493
2067,3.84888141704326
2068,3.84897043398479
2069,3.84899667577282
2070,3.84898887901125
2071,3.84897741271830
2072,3.84897437126144
2073,3.84898487519480
2074,3.84900058883302
2075,3.84898990113589
2076,3.84897528646005
2077,3.84897398414156
2078,3.84898324085139
2079,3.84898452153805
2080,3.84898330611458
2081,3.84898274882491
2082,3.84898328243557
2083,3.84898417355298
2084,3.84898410338880
2085,3.84898245484438
2086,3.84898171021523
2087,3.84898235259074
2088,3.84898318943566
2089,3.84898318429409
2090,3.84898305056969
