Fiscal Year,Total Noninterest Spending
2017,13283.77553
2018,3966.3
2019,4149.5
2020,4347.1
2021,4550.7
2022,4757.1
2023,4977.7
2024,5202.6
2025,5438.7
2026,5671.2
2027,5919
2028,6173.3
2029,6425.7
2030,6689
2031,6948.7
2032,7217
2033,7495.1
2034,7773.6
2035,8068.9
2036,8368.6
2037,8674.1
2038,8989.8
2039,9303.6
2040,9633.1
2041,9975.2
2042,10335.9
2043,10698.8
2044,11093.1
2045,11472.8
2046,11907.1
2047,12319.2
2048,12753.3
2049,13236.1
2050,13684.1
2051,
2052,
2053,
2054,
2055,
2056,
2057,
2058,
2059,
2060,
2061,
2062,
2063,
2064,
2065,
2066,
2067,
2068,
2069,
2070,
2071,
2072,
2073,
2074,
2075,
2076,
2077,
2078,
2079,
2080,
2081,
2082,
2083,
2084,
2085,
2086,
2087,
2088,
2089,
2090,
