Fiscal Year,Nominal GDP (Billions of dollars)
2015,18036.6
2016,18649.2
2017,19324.6
2018,19964.4
2019,20681.1
2020,21437.5
2021,22188.9
2022,22939.0
2023,23764.2
2024,24616.2
2025,25471.5
2026,26371.3
2027,27307.7
2028,28312.4
2029,29285.6
2030,30326.3
2031,31363.4
2032,32426.7
2033,33585.9
2034,34696.4
2035,35940.9
2036,37196.5
2037,38496.8
2038,39872.9
2039,41174.7
2040,42548.6
2041,43995.8
2042,45556.6
2043,47069.0
2044,48758.1
2045,50286.4
2046,52150.0
2047,53789.5
2048,55508.7
2049,57510.3
2050,59223.0
2051,
2052,
2053,
2054,
2055,
2056,
2057,
2058,
2059,
2060,
2061,
2062,
2063,
2064,
2065,
2066,
2067,
2068,
2069,
2070,
2071,
2072,
2073,
2074,
2075,
2076,
2077,
2078,
2079,
2080,
2081,
2082,
2083,
2084,
2085,
2086,
2087,
2088,
2089,
2090,
